FID,Slope,Elevat,ShrubCov,x_utm,y_utm
1798,2.0248699,721,0.0717829,256619.200000000011642,3893582.200000000186265
1799,1.8427900,721,0.0906850,256659.200000000011642,3893582.200000000186265
1800,1.7899100,722,0.0697577,256699.200000000011642,3893582.200000000186265
1801,1.5398700,723,0.1012610,256739.200000000011642,3893582.200000000186265
1802,1.7899100,724,0.0812339,256779.200000000011642,3893582.200000000186265
1803,2.1771801,725,0.1467160,256819.200000000011642,3893582.200000000186265
1804,2.6052001,725,0.1489660,256859.200000000011642,3893582.200000000186265
1805,2.1475899,724,0.1138630,256899.200000000011642,3893582.200000000186265
1806,2.2917299,724,0.1473910,256939.200000000011642,3893582.200000000186265
1807,2.4007900,726,0.1593180,256979.200000000011642,3893582.200000000186265
1808,2.4007900,727,0.0479303,257019.200000000011642,3893582.200000000186265
1809,2.9503500,729,0.0339787,257059.200000000011642,3893582.200000000186265
1810,2.9503500,732,0.0202522,257099.200000000011642,3893582.200000000186265
1811,4.0525599,733,0.0353289,257139.200000000011642,3893582.200000000186265
1812,5.8257399,735,0.0533309,257179.200000000011642,3893582.200000000186265
1813,5.7602301,736,0.0969857,257219.200000000011642,3893582.200000000186265
1814,4.6450801,737,0.0281281,257259.200000000011642,3893582.200000000186265
1815,3.8675399,739,0.0501805,257299.200000000011642,3893582.200000000186265
1816,3.5494800,741,0.2378510,257339.200000000011642,3893582.200000000186265
1817,3.5404799,742,0.2788060,257379.200000000011642,3893582.200000000186265
1818,3.5763299,743,0.1620180,257419.200000000011642,3893582.200000000186265
1819,4.1457701,746,0.1176880,257459.200000000011642,3893582.200000000186265
1820,6.4432998,750,0.1993720,257499.200000000011642,3893582.200000000186265
1821,7.1689501,756,0.1172380,257539.200000000011642,3893582.200000000186265
1822,7.3205500,759,0.1291640,257579.200000000011642,3893582.200000000186265
1823,8.0533400,762,0.1667430,257619.200000000011642,3893582.200000000186265
1824,5.8531098,766,0.2515780,257659.200000000011642,3893582.200000000186265
1825,2.1015601,704,0.1064370,256179.200000000011642,3893542.200000000186265
1826,2.3332300,704,0.1480660,256219.200000000011642,3893542.200000000186265
1827,4.6450801,706,0.1399650,256259.200000000011642,3893542.200000000186265
1828,4.7465701,711,0.0929352,256299.200000000011642,3893542.200000000186265
1829,2.5431001,713,0.1019360,256339.200000000011642,3893542.200000000186265
1830,3.1695199,713,0.1818200,256379.200000000011642,3893542.200000000186265
1831,3.5941300,711,0.2340260,256419.200000000011642,3893542.200000000186265
