FID,uniID,Count_,Shrub_Cov,Aspect,Slope,Elev,x_utm,y_utm,x_wgs,y_wgs
188,4268.000000000000000,4,0.0295816,96.3402023,3.2392700,667,696859.999998999992386,4063300.000000000000000,-120.796423000000004,36.694997000000001
189,4269.000000000000000,1,0.0116533,108.4349976,4.5202298,665,696879.999998999992386,4063300.000000000000000,-120.796199000000001,36.694992999999997
190,4270.000000000000000,3,0.0618523,127.8750000,4.0760598,664,696899.999998999992386,4063300.000000000000000,-120.795974999999999,36.694989000000000
191,4271.000000000000000,2,0.0188246,146.3099976,2.5805399,663,696919.999998999992386,4063300.000000000000000,-120.795750999999996,36.694985000000003
192,4272.000000000000000,0,0.0107569,225.0000000,0.5064150,663,696939.999998999992386,4063300.000000000000000,-120.795528000000004,36.694980000000001
193,4273.000000000000000,0,0.0008964,45.0000000,1.5189300,663,696959.999998999992386,4063300.000000000000000,-120.795304000000002,36.694975999999997
194,4274.000000000000000,1,0.0340636,53.1301003,3.5763299,662,696979.999998999992386,4063300.000000000000000,-120.795079999999999,36.694972000000000
195,4275.000000000000000,2,0.0224103,45.0000000,6.0545001,661,696999.999998999992386,4063300.000000000000000,-120.794855999999996,36.694968000000003
196,4276.000000000000000,2,0.0179282,48.1797981,9.0536499,659,697019.999998999992386,4063300.000000000000000,-120.794633000000005,36.694963999999999
197,4277.000000000000000,1,0.0340636,53.9725990,9.6490698,656,697039.999998999992386,4063300.000000000000000,-120.794409000000002,36.694960000000002
198,4278.000000000000000,2,0.0376493,45.0000000,7.0541301,653,697059.999998999992386,4063300.000000000000000,-120.794184999999999,36.694955000000000
199,4279.000000000000000,1,0.0116533,3.8140700,5.3676400,652,697079.999998999992386,4063300.000000000000000,-120.793961999999993,36.694951000000003
200,4343.000000000000000,0,0.0125498,180.0000000,9.9262505,663,696699.999998999992386,4063320.000000000000000,-120.798207000000005,36.695210000000003
201,4344.000000000000000,0,0.0224103,205.3459930,7.4857101,664,696719.999998999992386,4063320.000000000000000,-120.797983000000002,36.695205999999999
202,4345.000000000000000,0,0.0188246,225.0000000,4.0446901,665,696739.999998999992386,4063320.000000000000000,-120.797759999999997,36.695202000000002
203,4346.000000000000000,1,0.0250995,45.0000000,1.0127500,666,696759.999998999992386,4063320.000000000000000,-120.797535999999994,36.695197999999998
204,4347.000000000000000,2,0.0573703,26.5650997,3.1996000,665,696779.999998999992386,4063320.000000000000000,-120.797312000000005,36.695194000000001
205,4348.000000000000000,0,0.0206174,341.5650024,4.5202298,665,696799.999998999992386,4063320.000000000000000,-120.797089000000000,36.695189999999997
206,4349.000000000000000,1,0.0313744,341.5650024,5.6437101,666,696819.999998999992386,4063320.000000000000000,-120.796864999999997,36.695185000000002
207,4350.000000000000000,3,0.0000000,351.8699951,5.0511498,666,696839.999998999992386,4063320.000000000000000,-120.796640999999994,36.695180999999998
208,4351.000000000000000,4,0.0358564,29.0545998,3.6817801,666,696859.999998999992386,4063320.000000000000000,-120.796417000000005,36.695177000000001
209,4352.000000000000000,2,0.0304780,60.9454002,3.6817801,665,696879.999998999992386,4063320.000000000000000,-120.796194000000000,36.695172999999997
210,4353.000000000000000,1,0.0125498,63.4348984,3.1996000,664,696899.999998999992386,4063320.000000000000000,-120.795969999999997,36.695169000000000
211,4354.000000000000000,2,0.0286851,54.4622993,3.0775199,663,696919.999998999992386,4063320.000000000000000,-120.795745999999994,36.695165000000003
212,4355.000000000000000,1,0.0000000,26.5650997,3.1996000,662,696939.999998999992386,4063320.000000000000000,-120.795522000000005,36.695160999999999
213,4356.000000000000000,1,0.0071713,21.8013992,3.8510301,662,696959.999998999992386,4063320.000000000000000,-120.795299000000000,36.695155999999997
214,4357.000000000000000,1,0.0439241,45.0000000,5.0511498,661,696979.999998999992386,4063320.000000000000000,-120.795074999999997,36.695152000000000
215,4358.000000000000000,2,0.0457169,56.3098984,7.7001600,659,696999.999998999992386,4063320.000000000000000,-120.794850999999994,36.695148000000003
216,4359.000000000000000,1,0.0197210,54.4622993,9.1625299,656,697019.999998999992386,4063320.000000000000000,-120.794628000000003,36.695143999999999
217,4425.000000000000000,0,0.0143426,163.0720062,8.5453501,668,696679.999998999992386,4063340.000000000000000,-120.798426000000006,36.695394999999998
218,4426.000000000000000,2,0.0000000,163.3009949,7.4352999,666,696699.999998999992386,4063340.000000000000000,-120.798202000000003,36.695390000000003
219,4427.000000000000000,1,0.0493026,180.0000000,5.0006399,666,696719.999998999992386,4063340.000000000000000,-120.797978000000001,36.695385999999999
220,4428.000000000000000,1,0.0519918,135.0000000,2.0248699,666,696739.999998999992386,4063340.000000000000000,-120.797754999999995,36.695382000000002
221,4429.000000000000000,2,0.0277887,59.0362015,4.1687398,665,696759.999998999992386,4063340.000000000000000,-120.797531000000006,36.695377999999998
222,4430.000000000000000,4,0.0510954,33.6901016,5.1506500,663,696779.999998999992386,4063340.000000000000000,-120.797307000000004,36.695374000000001
223,4431.000000000000000,3,0.0000000,0.0000000,5.7105899,663,696799.999998999992386,4063340.000000000000000,-120.797083000000001,36.695369999999997
224,4432.000000000000000,1,0.0170318,347.4710083,6.5740099,663,696819.999998999992386,4063340.000000000000000,-120.796859999999995,36.695366000000000
225,4433.000000000000000,0,0.0000000,343.6099854,6.3197699,664,696839.999998999992386,4063340.000000000000000,-120.796636000000007,36.695360999999998
226,4434.000000000000000,2,0.0044820,3.8140700,5.3676400,665,696859.999998999992386,4063340.000000000000000,-120.796412000000004,36.695357000000001
227,4435.000000000000000,3,0.0519918,26.5650997,4.7931800,664,696879.999998999992386,4063340.000000000000000,-120.796188000000001,36.695352999999997
228,4436.000000000000000,2,0.0233067,37.8750000,4.0760598,663,696899.999998999992386,4063340.000000000000000,-120.795964999999995,36.695349000000000
229,4437.000000000000000,2,0.0322708,45.0000000,4.0446901,662,696919.999998999992386,4063340.000000000000000,-120.795741000000007,36.695345000000003
230,4438.000000000000000,3,0.0008964,37.8750000,4.0760598,661,696939.999998999992386,4063340.000000000000000,-120.795517000000004,36.695340999999999
231,4439.000000000000000,3,0.0197210,21.8013992,3.8510301,660,696959.999998999992386,4063340.000000000000000,-120.795293999999998,36.695337000000002
232,4440.000000000000000,2,0.0017928,45.0000000,4.5482702,660,696979.999998999992386,4063340.000000000000000,-120.795069999999996,36.695332000000001
