Shrub_ID,D1,D2,H,Volume,S.density grouping,Canopy,Skat.2013,Skat.2014,X,Y,RDM.2013,RDM.2014,Shrub.density,Dx,Burrows,Trails
476,6.37,6.35,1.76,37.28,7,3,0,0,696555.7721,4063546.209,12.31653595,4.966919899,0.004395439,,,
477,4.88,4.61,1.57,18.49,7,2,0,0,696562.0415,4063541.801,12.24918652,5.07785368,0.003257451,,,
478,7,6.27,2.22,51.02,7,9,0,0,696562.1334,4063541.693,12.06753826,5.058476448,0.003248439,,,
479,6.03,5.95,1.74,32.69,7,6,0,0,696570.2843,4063540.992,12.77464485,4.402328968,0.003856563,,,
480,7.43,7.78,2.04,61.74,7,8,0,0,696593.3823,4063555.065,4.666818142,2.471567392,0.003733742,,,
481,4.84,4.63,2.25,26.4,7,7,0,0,696601.2035,4063545.365,12.3008976,2.514720678,0.002940656,,,
482,5.81,4.85,2.21,32.61,7,6,0,0,696587.163,4063537.827,19.12240219,4.539203644,0.003335468,,,
483,4.47,3.4,2.43,19.34,7,4,0,0,696573.6915,4063524.974,13.54310226,4.968741417,0.003353514,,,
484,3.89,4.6,0.81,7.59,7,7,0,0,696568.7924,4063516.424,12.40719128,6.212601662,0.003069293,,,
485,5.22,3.8,2.36,24.51,7,5,0,0,696567.0489,4063518.382,13.27792263,5.052268028,0.003091054,,,
486,4.5,4.93,1.7,19.75,7,7,0,0,696570.9765,4063495.272,10.60476494,6.467951775,0.002001872,,,
487,8.01,6.4,2.24,60.13,7,5,0,0,696599.0524,4063506.685,7.710139751,6.748664856,0.004019869,,,
488,2.39,2.1,0.96,2.52,7,0,0,0,696595.9412,4063521.488,8.37405777,5.572486401,0.003063409,,,
489,4.9,3.67,2.16,20.34,7,5,0,0,696618.6682,4063512.797,4.578185081,4.823369026,0.004011961,9.693333333,4,4
490,4.7,4.3,1.54,16.3,7,4,0,0,696616.6103,4063505.09,6.366624355,5.25639534,0.004633633,,,
491,3.6,2.65,1.51,7.54,7,2,0,0,696623.5587,4063498.367,14.14515018,4.866065502,0.004663967,,,
492,2.26,2,0.97,2.3,7,2,0,0,696622.2847,4063495.451,14.08593178,3.944948196,0.005256936,,,
493,2.22,2.09,2.17,5.27,7,1,0,0,696617.7944,4063496.347,13.48541927,5.390052319,0.005086534,,,
494,5.06,3.95,1.74,18.21,7,6,0,0,696609.3827,4063488.938,12.49999046,5.618218422,0.004595009,,,
495,4.9,3.36,1.74,15,7,4,0,0,696596.0849,4063480.196,7.781851292,5.37696743,0.003682677,,,
496,4.5,3.5,1.6,13.19,7,5,0,0,696591.0837,4063472.199,10.22620964,6.533225536,0.002187029,,,
497,3.5,2.64,1.24,6,7,3,0,0,696591.3458,4063453.001,14.7695961,6.540104866,0.00155714,,,
498,3.16,2.57,1.55,6.59,7,2,0,0,696613.9053,4063467.173,14.75126171,5.242520809,0.004235153,,,
499,7.04,5.97,1.64,36.09,7,6,0,0,696612.9943,4063475.7,14.78543949,5.850383282,0.004170795,,,
500,3.95,2.2,1.9,8.65,7,3,0,0,696626.9304,4063487.787,16.35563469,5.306865692,0.005225279,,,
501,3.82,2.7,2,10.8,7,2,0,0,696623.3797,4063490.592,16.26987076,4.876146793,0.005392512,3.366666667,9,1
502,2.68,2.32,1.24,4.04,7,3,0,0,696635.7635,4063500.201,22.982584,4.414756298,0.004161958,,,
503,5.42,5.17,1.69,24.8,7,8,0,0,696643.0085,4063503.92,11.20142841,3.686085463,0.00436412,,,
504,4.7,3.31,2.1,17.11,7,3,0,0,696646.4876,4063496.451,11.8417244,4.152552128,0.003854422,,,
505,4.22,3.2,2.04,14.42,7,2,0,0,696648.4916,4063498.718,9.738315582,4.029266357,0.004029029,,,
506,4.46,3.4,1.63,12.94,7,4,0,0,696662.9784,4063494.61,4.212245464,2.497171402,0.003533517,,,
507,7.75,5.3,1.67,35.92,7,7,0,0,696630.118,4063465.77,14.47839069,4.287657261,0.003849054,,,
508,4.25,3.12,1.4,9.72,7,2,0,0,696634.0693,4063457.202,13.49236965,5.675552368,0.003052986,7.95,2,4
509,3.98,3.87,1.53,12.34,7,1,0,0,696632.5347,4063446.176,12.58620548,5.80376339,0.002530713,,,
510,1.5,1.17,0.88,0.81,7,3,0,0,696630.9286,4063438.258,12.26043701,6.940892696,0.002256018,,,
511,4.47,3.87,1.92,17.39,7,6,0,0,696643.0548,4063447.417,11.94502544,8.029259682,0.003016534,,,
512,6.3,4.82,1.69,26.87,7,5,0,0,696656.9859,4063463.612,14.57970715,7.117945671,0.003887544,,,
513,4.4,4.39,1.91,19.32,6,8,0,0,696682.2794,4063479.401,16.31188011,2.855623484,0.005015964,,,
514,6.59,5.21,2.13,38.29,6,5,0,0,696680.5535,4063472.812,28.71704483,3.432275057,0.004816023,,,
515,0.71,0.67,0.59,0.15,6,3,0,0,696684.0021,4063466.675,13.8887167,3.261338234,0.004444432,,,
516,2.38,2.16,1.19,3.2,6,4,0,0,696681.2681,4063465.058,18.41778374,3.645603418,0.004354581,,,
517,2.23,1.96,0.93,2.13,7,3,0,0,696679.236,4063464.012,20.97404099,3.818465948,0.004189412,,,
518,4.77,2.99,1.88,14.04,7,7,0,0,696679.3558,4063458.797,23.93793678,4.080089092,0.003868128,6,2,3
519,7.06,5.49,2.1,42.62,7,8,0,0,696671.6685,4063435.42,3.218857765,4.741010189,0.003563329,,,
520,4.12,3.42,1.7,12.54,7,5,0,0,696653.4773,4063433.447,9.397047997,6.003095627,0.002705721,,,
521,4.32,4.29,1.4,13.59,7,7,0,0,696657.9136,4063423.225,3.218857765,5.052567005,0.001927303,,,
