FID,pointid,shrub_cov,Elev,Slope,x_wgs,y_wgs,x_utm,y_utm,lat,lng
1227,1228,0.177613,751,3.0775199,-119.673518,35.16175,256489.2,3894250,,
1838,1839,0.177589,741,2.7251401,-119.665942,35.158312,257169.2,3893850,,
887,888,0.177538,764,8.0494699,-119.674057,35.164803,256449.2,3894590,,
365,366,0.177103,766,3.39325,-119.680289,35.167369,255889.2,3894890,,
290,291,0.17701,769,3.94906,-119.68052,35.167725,255869.2,3894930,,
2498,2499,0.176615,747,13.9856005,-119.666032,35.154343,257149.2,3893410,,
1857,1858,0.176426,740,2.5805399,-119.668788,35.158069,256909.2,3893830,,
1542,1543,0.175701,756,3.8510301,-119.668628,35.159875,256929.2,3894030,,
2502,2503,0.175533,747,2.0248699,-119.665155,35.154363,257229.2,3893410,,
1905,1906,0.175514,750,9.2566795,-119.665053,35.157971,257249.2,3893810,,
1089,1090,0.175495,763,1.82533,-119.670489,35.163079,256769.2,3894390,,
902,903,0.175427,758,4.1687398,-119.675368,35.164594,256329.2,3894570,,
367,368,0.175322,764,1.4321001,-119.67985,35.167379,255929.2,3894890,,
2222,2223,0.175103,725,3.1996,-119.668937,35.155902,256889.2,3893590,,
1826,1827,0.174989,740,2.5304899,-119.668575,35.158254,256929.2,3893850,,
901,902,0.174754,756,4.0446901,-119.675587,35.164589,256309.2,3894570,,
96,97,0.174463,776,1.60105,-119.680342,35.16899,255889.2,3895070,,
230,231,0.17431,769,5.07621,-119.679215,35.168114,255989.2,3894970,,
1759,1760,0.174307,742,3.39325,-119.669025,35.158604,256889.2,3893890,,
565,566,0.174195,763,6.0753298,-119.680478,35.166464,255869.2,3894790,,
308,309,0.174177,776,7.8130798,-119.676571,35.167812,256229.2,3894930,,
637,638,0.174142,759,4.7666001,-119.680028,35.166113,255909.2,3894750,,
172,173,0.173957,771,6.8552599,-119.679447,35.168469,255969.2,3895010,,
12,13,0.173956,-9999,8.5889301,-119.678189,35.1703,256089.2,3895210,,
