FID,Slope,Elevat,ShrubCov,x_utm,y_utm
118,4.0407801,773,0.1112490,255824.200000000011642,3895038.200000000186265
119,4.6088700,772,0.1387910,255874.200000000011642,3895038.200000000186265
120,4.6263199,772,0.1332830,255924.200000000011642,3895038.200000000186265
121,3.8442700,772,0.1589530,255974.200000000011642,3895038.200000000186265
122,3.1076000,773,0.1586290,256024.200000000011642,3895038.200000000186265
123,3.1046801,774,0.1258660,256074.200000000011642,3895038.200000000186265
124,4.2560301,775,0.1008800,256124.200000000011642,3895038.200000000186265
125,5.3024402,779,0.1034720,256174.200000000011642,3895038.200000000186265
126,4.6916699,783,0.1253980,256224.200000000011642,3895038.200000000186265
127,4.3429198,784,0.1352630,256274.200000000011642,3895038.200000000186265
128,4.7379799,786,0.1112850,256324.200000000011642,3895038.200000000186265
129,4.3227701,787,0.1677730,256374.200000000011642,3895038.200000000186265
130,4.0362201,789,0.2329390,256424.200000000011642,3895038.200000000186265
131,6.4870501,793,0.1840110,256474.200000000011642,3895038.200000000186265
132,9.7646599,800,0.0845347,256524.200000000011642,3895038.200000000186265
133,9.5369101,806,0.0707456,256574.200000000011642,3895038.200000000186265
134,7.5423498,809,0.1655050,256624.200000000011642,3895038.200000000186265
135,7.5924201,813,0.2352790,256674.200000000011642,3895038.200000000186265
136,10.2756996,820,0.3167890,256724.200000000011642,3895038.200000000186265
137,12.2669001,829,0.3905590,256774.200000000011642,3895038.200000000186265
138,8.7867498,838,0.3345750,256824.200000000011642,3895038.200000000186265
139,-9999.0000000,842,0.2828390,256874.200000000011642,3895038.200000000186265
140,2.5694101,770,0.1444080,255724.200000000011642,3894988.200000000186265
141,2.4825499,770,0.1001240,255774.200000000011642,3894988.200000000186265
142,3.2250099,770,0.1118250,255824.200000000011642,3894988.200000000186265
143,3.7485099,768,0.1454880,255874.200000000011642,3894988.200000000186265
144,3.5270300,768,0.1464600,255924.200000000011642,3894988.200000000186265
145,3.2824900,769,0.1664050,255974.200000000011642,3894988.200000000186265
146,2.8464501,772,0.1399070,256024.200000000011642,3894988.200000000186265
147,2.5653601,773,0.1094850,256074.200000000011642,3894988.200000000186265
